"1","1","relation","Relation","A related resource."
"2","1","conformsTo","Conforms To","An established standard to which the described resource conforms."
"3","1","hasFormat","Has Format","A related resource that is substantially the same as the pre-existing described resource, but in another format."
"4","1","hasPart","Has Part","A related resource that is included either physically or logically in the described resource."
"5","1","hasVersion","Has Version","A related resource that is a version, edition, or adaptation of the described resource."
"6","1","isFormatOf","Is Format Of","A related resource that is substantially the same as the described resource, but in another format."
"7","1","isPartOf","Is Part Of","A related resource in which the described resource is physically or logically included."
"8","1","isReferencedBy","Is Referenced By","A related resource that references, cites, or otherwise points to the described resource."
"9","1","isReplacedBy","Is Replaced By","A related resource that supplants, displaces, or supersedes the described resource."
"10","1","isRequiredBy","Is Required By","A related resource that requires the described resource to support its function, delivery, or coherence."
"11","1","isVersionOf","Is Version Of","A related resource of which the described resource is a version, edition, or adaptation."
"12","1","references","References","A related resource that is referenced, cited, or otherwise pointed to by the described resource."
"13","1","replaces","Replaces","A related resource that is supplanted, displaced, or superseded by the described resource."
"14","1","requires","Requires","A related resource that is required by the described resource to support its function, delivery, or coherence."
"15","1","source","Source","A related resource from which the described resource is derived."
"16","1","abstract","Abstract","A summary of the resource."
"17","1","accessRights","Access Rights","Information about who can access the resource or an indication of its security status."
"18","1","accrualMethod","Accrual Method","The method by which items are added to a collection."
"19","1","accrualPeriodicity","Accrual Periodicity","The frequency with which items are added to a collection."
"20","1","accrualPolicy","Accrual Policy","The policy governing the addition of items to a collection."
"21","1","audience","Audience","A class of entity for whom the resource is intended or useful."
"22","1","contributor","Contributor","An entity responsible for making contributions to the resource."
"23","1","coverage","Coverage","The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant."
"24","1","creator","Creator","An entity primarily responsible for making the resource."
"25","1","description","Description","An account of the resource."
"26","1","educationLevel","Audience Education Level","A class of entity, defined in terms of progression through an educational or training context, for which the described resource is intended."
"27","1","extent","Extent","The size or duration of the resource."
"28","1","format","Format","The file format, physical medium, or dimensions of the resource."
"29","1","instructionalMethod","Instructional Method","A process, used to engender knowledge, attitudes and skills, that the described resource is designed to support."
"30","1","language","Language","A language of the resource."
"31","1","license","License","A legal document giving official permission to do something with the resource."
"32","1","mediator","Mediator","An entity that mediates access to the resource and for whom the resource is intended or useful."
"33","1","medium","Medium","The material or physical carrier of the resource."
"34","1","provenance","Provenance","A statement of any changes in ownership and custody of the resource since its creation that are significant for its authenticity, integrity, and interpretation."
"35","1","publisher","Publisher","An entity responsible for making the resource available."
