subjectate,subject,relation,object
1782-08-06,2,1,44
1782-08-06,2,1,42
1782-08-06,2,8,75
1824-07-28,5,4,4
1824-08-15,13,50,12
1823-07-18,14,50,13
1828-11-17,17,50,16
1781-11-20,19,14,281
1832-03-23,20,13,18
1832-03-23,21,46,18
1834-05-10,21,13,20
1832-02-29,28,13,22
1739-08-20,31,8,30
1820-01-12,32,12,248
1820-01-12,32,12,249
1739-08-20,35,11,34
1739-08-20,38,1,35
1760,38,1,34
1771-12-18,39,7,36
1782-01-25,40,103,34
1783-05-25,43,1,42
1783-05-25,44,103,35
1817-01-24,44,103,40
1817-06-18,55,75,47
1817-07-01,56,12,55
1818-06-24,57,12,55
1819-06-14,58,1,57
1813-10-23,82,7,81
1817-01-24,89,12,55
1817-07-11,90,12,55
1817-07-14,91,12,55
1817-09-06,92,12,55
1817-07-23,93,12,55
1817-08-09,94,12,55
1817-08-09,94,75,90
1817-08-07,95,12,55
1817-08-13,96,12,55
1817-09-01,97,12,55
1817-08-01,98,12,55
1821-06-25,101,8,100
1817-10-23,103,12,55
1817-11-27,106,12,55
1817-10-25,107,12,55
1817-10-25,107,76,103
1818,110,12,55
1818-04-18,111,12,55
1818-04-18,111,1,110
1820-07-01,115,7,114
1817,122,12,55
1817,122,12,54
1824-05-06,128,12,127
1833-04-17,129,1,125
1824-07-29,132,4,128
1824-07-29,132,12,127
1828-08-27,133,1,127
1776-08-23,134,8,63
1766-12-26,141,7,136
1777-04-18,142,7,139
1762,143,12,36
1804-12-05,146,1,62
1776-12-19,147,12,134
1802-10-05,148,1,137
1803-03-29,149,12,148
1773-08-05,167,1,160
1828-11-16,226,1,225
1762-08-12,227,12,36
1762-09-03,232,12,167
1820-01-12,241,12,29
1762-09-11,242,8,241
1837-08-29,243,8,242
1775-09-06,245,1,241
1836-05-28,248,1,241
1837-08-07,248,1,245
1791-03-02,248,12,27
1833,249,1,248
1833,249,1,241
1823,249,1,245
1789,249,12,27
1833-10-01,250,1,248
1833-10-01,250,1,249
1833-10-01,251,12,249
1833-11-09,253,12,6
1680-05-18,256,8,225
1825-05-13,256,8,226
1805,256,115,275
1840-03-01,256,115,13
1840,256,115,14
1840,256,115,15
1842-05-13,256,115,16
1837-03-31,256,115,17
1841,256,115,19
1841,256,115,27
1841,256,115,28
1781-10-22,256,115,277
1833,257,115,248
1833-10-01,258,116,257
1833-10-01,259,115,22
1833-10-01,259,115,26
1833-10-01,259,115,248
1833-10-01,260,115,248
1833-10-13,260,116,250
1833-10-13,260,78,261
1833-10-13,261,1,248
1802,261,27,249
1789,261,12,250
1789,261,14,27
1789,262,4,249
1757,262,1,248
1831-04-28,262,12,263
1827-06-20,264,8,248
1821-08-31,265,115,248
1821-08-31,267,8,248
1821-08-31,268,12,2
1821-08-31,268,12,42
1821-08-31,268,12,44
1821-08-31,268,1,75
1821-08-31,270,115,248
1811-11-18,271,8,261
1680-05-18,273,1,272
1757,276,115,13
1816-11-08,276,115,15
1813-12-24,276,115,275
1810-12-29,276,115,16
1781-06-02,276,115,17
1781-06-02,276,115,19
1781-06-02,276,115,20
1781-10-20,276,115,23
1781-10-22,276,115,277
1781-10-20,277,1,275
1781-10-22,278,8,12
1781-11-19,278,8,15
1781-11-26,278,8,128
1781-11-26,278,8,13
1782-01-26,278,8,132
1782-03-26,278,8,19
1781-12-31,278,8,275
1781-06-21,279,12,55
1781-07-10,281,8,113
1781-08-23,281,8,248
1820-01-12,282,8,245
1820-01-12,283,1,32
1820-01-12,284,12,29
1820-01-12,285,12,29
1819-02-25,285,12,286
1817-07-14,285,1,284
1742-04-30,287,12,281
1742-04-30,288,1,256
1748-09-28,290,7,289
1748-09-28,292,7,291
1748-09-28,294,43,48
1751-02-20,300,1,298
1773-08-30,300,1,296
1773-08-30,300,1,299
1773-08-30,301,1,300
1753-04-18,302,12,301
1758-12-18,303,1,301
1758-12-18,304,1,301
1783-08-22,304,12,297
1783-08-22,305,12,301
1775-08-24,306,1,305
1818-04-18,306,12,301
1818-04-18,307,12,301
1818-04-18,308,12,301
1817-02-24,310,12,301
1817-04-14,311,1,299
1818-01-13,312,1,300
1817-12-04,313,1,300
1818-06-20,314,1,301
1818-03-19,317,8,220
1819-07-01,317,8,202
1819-07-01,317,8,211
1819-07-01,317,8,198
1819-07-01,317,8,217
1818-07-03,317,8,209
1818-07-03,317,8,204
1819-06-01,318,1,317
1819-06-01,322,12,55
1819-06-01,323,1,35
1819-06-01,323,1,34
1819-08-03,324,1,34
1819-08-03,324,1,35
1819-08-03,324,1,323
1819-08-03,326,12,325
1819-08-03,328,1,232
1742-04-30,328,1,167
1742-04-30,328,1,160
1748-09-28,330,7,329
1748-09-28,331,7,329
1771-10-17,331,14,330
1766-04-14,333,1,150
1819-04-26,333,1,44
1790-12-11,334,103,40
1781-09-18,336,1,343
1740-10-25,337,12,55
1749-03-30,337,27,47
1749-03-30,338,1,47
1749-03-30,341,1,55
1749-03-30,343,1,342
1749-03-30,344,1,55
1781-09-22,345,1,344
